time	V(a)	V(b)	V(c)
3.317089969689156e-002	5.000000e+000	2.072751e+000	4.997108e+000
3.320996219689156e-002	5.000000e+000	1.975095e+000	4.989155e+000
3.321484500939156e-002	5.000000e+000	1.962888e+000	4.985981e+000
3.322461063439156e-002	5.000000e+000	1.938473e+000	4.972824e+000
3.323231520749806e-002	5.000000e+000	1.919212e+000	4.956358e+000
3.323424135077469e-002	5.000000e+000	1.914397e+000	4.948991e+000
3.323809363732794e-002	5.000000e+000	1.904766e+000	4.924108e+000
3.324041414372615e-002	5.000000e+000	1.898965e+000	4.893375e+000
3.324205720208373e-002	5.000000e+000	1.894857e+000	4.833437e+000
3.324336930459691e-002	5.000000e+000	1.891577e+000	4.699077e+000
3.324497148651051e-002	5.000000e+000	1.887571e+000	4.408278e+000
3.324513493001446e-002	5.000000e+000	1.887163e+000	4.363639e+000
3.324546181702235e-002	5.000000e+000	1.886346e+000	4.238245e+000
3.324611559103814e-002	5.000000e+000	1.884711e+000	3.931172e+000
3.324625162657675e-002	5.000000e+000	1.884371e+000	3.844842e+000
3.324652369765399e-002	5.000000e+000	1.883691e+000	3.622151e+000
3.324659171542330e-002	5.000000e+000	1.883521e+000	3.548553e+000
3.324672775096191e-002	5.000000e+000	1.883181e+000	3.326046e+000
3.324684107543210e-002	5.000000e+000	1.882897e+000	3.009786e+000
3.324686940654965e-002	5.000000e+000	1.882826e+000	2.787918e+000
3.324692606878475e-002	5.000000e+000	1.882685e+000	2.031941e+000
3.324696720760310e-002	5.000000e+000	1.882582e+000	1.404458e+000
3.324697896155120e-002	5.000000e+000	1.882553e+000	1.241224e+000
3.324700246944740e-002	5.000000e+000	1.882494e+000	1.013344e+000
3.324704948523979e-002	5.000000e+000	1.882376e+000	8.126797e-001
3.324713250376306e-002	5.000000e+000	1.882169e+000	6.897959e-001
3.324721742564463e-002	5.000000e+000	1.881956e+000	6.310466e-001
3.324738726940778e-002	5.000000e+000	1.881532e+000	5.610968e-001
3.324768957917677e-002	5.000000e+000	1.880776e+000	4.789157e-001
3.324824295473069e-002	5.000000e+000	1.879393e+000	3.822419e-001
3.324914907426198e-002	5.000000e+000	1.877127e+000	2.837989e-001
3.325070400170177e-002	5.000000e+000	1.873240e+000	1.862059e-001
3.325320277516262e-002	5.000000e+000	1.866993e+000	1.041865e-001
3.325561819796978e-002	5.000000e+000	1.860955e+000	6.840198e-002
3.325760121937726e-002	5.000000e+000	1.855997e+000	5.585090e-002
3.325971645444234e-002	5.000000e+000	1.850709e+000	4.797484e-002
3.326262907674274e-002	5.000000e+000	1.843427e+000	4.052068e-002
3.326762188501212e-002	5.000000e+000	1.830945e+000	3.155694e-002
3.327316004666721e-002	5.000000e+000	1.817100e+000	2.465980e-002
3.328188529302728e-002	5.000000e+000	1.795287e+000	1.737062e-002
3.329224510552118e-002	5.000000e+000	1.769387e+000	1.173987e-002
3.330960074361676e-002	5.000000e+000	1.725998e+000	6.288808e-003
3.333496495369377e-002	5.000000e+000	1.662588e+000	2.438472e-003
3.337402745369377e-002	5.000000e+000	1.564931e+000	4.320286e-004
3.341308995369377e-002	5.000000e+000	1.467275e+000	1.934066e-005
3.345215245369377e-002	5.000000e+000	1.369619e+000	4.266782e-007
3.349121495369377e-002	5.000000e+000	1.271963e+000	1.088089e-007
3.353027745369377e-002	5.000000e+000	1.174306e+000	9.053849e-008
3.356933995369377e-002	5.000000e+000	1.076650e+000	6.748724e-008
3.360840245369377e-002	5.000000e+000	9.789939e-001	6.112714e-008
