time	V(ax)	V(bx)	V(outx)
2.136632959251218e-002	3.415824e+000	5.000000e+000	9.956568e-002
2.140539209251218e-002	3.513480e+000	5.000000e+000	7.819201e-002
2.144445459251218e-002	3.611136e+000	5.000000e+000	5.977141e-002
2.148351709251218e-002	3.708793e+000	5.000000e+000	4.411880e-002
2.152257959251218e-002	3.806449e+000	5.000000e+000	3.108833e-002
2.156164209251218e-002	3.904105e+000	5.000000e+000	2.055963e-002
2.160070459251218e-002	4.001761e+000	5.000000e+000	1.242377e-002
2.163976709251218e-002	4.099418e+000	5.000000e+000	6.565610e-003
2.167882959251218e-002	4.197074e+000	5.000000e+000	2.822041e-003
2.171789209251217e-002	4.294730e+000	5.000000e+000	8.807196e-004
2.175695459251217e-002	4.392386e+000	5.000000e+000	1.699085e-004
2.179601709251217e-002	4.490043e+000	5.000000e+000	1.721209e-005
2.183507959251217e-002	4.587699e+000	5.000000e+000	1.395051e-006
2.200217216850243e-002	5.000000e+000	5.000000e+000	2.279695e-007
3.200215755528495e-002	5.000000e+000	4.994606e+000	-4.971634e-008
3.218407171383358e-002	5.000000e+000	4.539821e+000	2.763886e-006
3.222313421383358e-002	5.000000e+000	4.442164e+000	3.731535e-005
3.226219671383358e-002	5.000000e+000	4.344508e+000	2.673664e-004
3.230125921383358e-002	5.000000e+000	4.246852e+000	1.069246e-003
3.234032171383358e-002	5.000000e+000	4.149196e+000	2.873250e-003
3.237938421383358e-002	5.000000e+000	4.051539e+000	5.959046e-003
3.241844671383358e-002	5.000000e+000	3.953883e+000	1.045877e-002
3.245750921383358e-002	5.000000e+000	3.856227e+000	1.644223e-002
3.249657171383358e-002	5.000000e+000	3.758571e+000	2.395977e-002
3.253563421383358e-002	5.000000e+000	3.660914e+000	3.305996e-002
3.257469671383358e-002	5.000000e+000	3.563258e+000	4.379785e-002
3.261375921383358e-002	5.000000e+000	3.465602e+000	5.624181e-002
3.265282171383357e-002	5.000000e+000	3.367946e+000	7.048035e-002
3.269188421383357e-002	5.000000e+000	3.270289e+000	8.662903e-002
3.273094671383357e-002	5.000000e+000	3.172633e+000	1.048395e-001
3.277000921383357e-002	5.000000e+000	3.074977e+000	1.253118e-001
3.280907171383357e-002	5.000000e+000	2.977321e+000	1.483124e-001
3.284813421383357e-002	5.000000e+000	2.879664e+000	1.742014e-001
3.288719671383357e-002	5.000000e+000	2.782008e+000	2.034753e-001
3.292625921383357e-002	5.000000e+000	2.684352e+000	2.368392e-001
3.296532171383357e-002	5.000000e+000	2.586696e+000	2.753342e-001
3.300438421383357e-002	5.000000e+000	2.489039e+000	3.205870e-001
3.304344671383357e-002	5.000000e+000	2.391383e+000	3.754023e-001
3.308250921383357e-002	5.000000e+000	2.293727e+000	4.452537e-001
3.312157171383356e-002	5.000000e+000	2.196071e+000	5.447075e-001
3.316063421383356e-002	5.000000e+000	2.098414e+000	9.416415e-001
3.318981428422938e-002	5.000000e+000	2.025464e+000	2.028891e+000
3.320922732955520e-002	5.000000e+000	1.976932e+000	3.186030e+000
3.322102927826545e-002	5.000000e+000	1.947427e+000	3.629769e+000
3.323180276155904e-002	5.000000e+000	1.920493e+000	3.753670e+000
3.324521537451585e-002	5.000000e+000	1.886962e+000	3.868986e+000
3.327204060042947e-002	5.000000e+000	1.819898e+000	4.045898e+000
3.331110310042947e-002	5.000000e+000	1.722242e+000	4.245489e+000
3.335016560042946e-002	5.000000e+000	1.624586e+000	4.401688e+000
3.338922810042946e-002	5.000000e+000	1.526930e+000	4.527155e+000
3.342829060042946e-002	5.000000e+000	1.429273e+000	4.630989e+000
3.346735310042946e-002	5.000000e+000	1.331617e+000	4.718002e+000
3.350641560042946e-002	5.000000e+000	1.233961e+000	4.790997e+000
3.354547810042946e-002	5.000000e+000	1.136305e+000	4.851652e+000
3.358454060042946e-002	5.000000e+000	1.038648e+000	4.900983e+000
3.362360310042946e-002	5.000000e+000	9.409922e-001	4.939567e+000
3.366266560042946e-002	5.000000e+000	8.433360e-001	4.967750e+000
3.370172810042946e-002	5.000000e+000	7.456797e-001	4.985993e+000
3.374079060042946e-002	5.000000e+000	6.480235e-001	4.995545e+000
3.377985310042946e-002	5.000000e+000	5.503672e-001	4.999092e+000
3.381891560042945e-002	5.000000e+000	4.527110e-001	4.999891e+000
3.385797810042945e-002	5.000000e+000	3.550547e-001	4.999990e+000
3.400000000000000e-002	5.000000e+000	0.000000e+000	5.000002e+000
3.765234374999992e-002	5.000000e+000	0.000000e+000	5.000000e+000
3.999609374999987e-002	5.000000e+000	0.000000e+000	5.000000e+000
4.000000000000000e-002	5.000000e+000	0.000000e+000	5.000000e+000
