time	V(a1)	V(b1)	V(cin)	V(cout)	V(s)
1.534995446370152e-002	0.000000e+000	5.000000e+000	3.499545e+000	5.000000e+000	4.418727e-002
1.538901696370152e-002	0.000000e+000	5.000000e+000	3.890170e+000	5.000000e+000	1.611825e-002
1.542807946370152e-002	0.000000e+000	5.000000e+000	4.280795e+000	5.000000e+000	2.959563e-003
1.546093750000000e-002	0.000000e+000	5.000000e+000	4.609375e+000	5.000000e+000	1.251861e-004
1.550000000000000e-002	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.085656e-006
1.550457540741923e-002	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.000000000000000e-002	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.114082e-007
2.001944463357172e-002	4.861158e-002	5.000000e+000	5.000000e+000	5.000000e+000	1.113637e-007
2.003888926714343e-002	9.722316e-002	5.000000e+000	5.000000e+000	5.000000e+000	1.113300e-007
2.005833390071515e-002	1.458347e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113071e-007
2.007777853428687e-002	1.944463e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.112949e-007
2.009722316785859e-002	2.430579e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.112935e-007
2.011666780143030e-002	2.916695e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113029e-007
2.013611243500202e-002	3.402811e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.017517493500202e-002	4.379373e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.021423743500202e-002	5.355936e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.025329993500202e-002	6.332498e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.029236243500202e-002	7.309061e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.033142493500201e-002	8.285623e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.037048743500201e-002	9.262186e-001	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.040954993500201e-002	1.023875e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.044861243500201e-002	1.121531e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.046093750000001e-002	1.152344e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.047534987000402e-002	1.188375e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.113231e-007
2.050106425543895e-002	1.252661e+000	5.000000e+000	4.989357e+000	5.000000e+000	-5.328277e-007
2.051596383158426e-002	1.289910e+000	5.000000e+000	4.840362e+000	5.000000e+000	-8.566341e-007
2.053275627780405e-002	1.331891e+000	5.000000e+000	4.672437e+000	5.000000e+000	8.373519e-006
2.056175167337280e-002	1.404379e+000	5.000000e+000	4.382483e+000	5.000000e+000	9.158670e-004
2.058992244826904e-002	1.474806e+000	5.000000e+000	4.100776e+000	5.000000e+000	6.062464e-003
2.062519564669741e-002	1.562989e+000	5.000000e+000	3.748044e+000	5.000000e+000	2.246800e-002
2.066425814669741e-002	1.660645e+000	5.000000e+000	3.357419e+000	5.000000e+000	5.340659e-002
2.070332064669741e-002	1.758302e+000	5.000000e+000	2.966794e+000	5.000000e+000	9.585969e-002
2.074238314669741e-002	1.855958e+000	5.000000e+000	2.576169e+000	5.000000e+000	1.449849e-001
2.074286794270182e-002	1.857170e+000	5.000000e+000	2.571321e+000	5.000000e+000	1.455380e-001
2.074383753471064e-002	1.859594e+000	5.000000e+000	2.561625e+000	5.000000e+000	1.464839e-001
2.074577671872829e-002	1.864442e+000	5.000000e+000	2.542233e+000	5.000000e+000	1.483485e-001
2.074745140917927e-002	1.868629e+000	5.000000e+000	2.525486e+000	5.000000e+000	1.499287e-001
2.074982575651918e-002	1.874564e+000	5.000000e+000	2.501742e+000	5.000000e+000	1.521219e-001
2.075204424711801e-002	1.880111e+000	5.000000e+000	2.479558e+000	5.000000e+000	1.541381e-001
2.075229781481000e-002	1.880745e+000	5.000000e+000	2.477022e+000	5.000000e+000	1.543656e-001
2.075280495019396e-002	1.882012e+000	5.000000e+000	2.471951e+000	5.000000e+000	1.548171e-001
2.075306596293502e-002	1.882665e+000	5.000000e+000	2.469340e+000	5.000000e+000	1.550489e-001
2.075316038165546e-002	1.882901e+000	5.000000e+000	2.468396e+000	5.000000e+000	1.551326e-001
2.075320650253972e-002	1.883016e+000	5.000000e+000	2.467935e+000	5.000000e+000	1.551734e-001
2.075325269887886e-002	1.883132e+000	5.000000e+000	2.467473e+000	5.000000e+000	1.552143e-001
2.075328304022293e-002	1.883208e+000	5.000000e+000	2.467170e+000	5.000000e+000	1.552411e-001
2.075332081062810e-002	1.883302e+000	5.000000e+000	2.466792e+000	5.000000e+000	1.552745e-001
2.075336081925662e-002	1.883402e+000	5.000000e+000	2.466392e+000	5.000000e+000	1.553099e-001
2.075340566122935e-002	1.883514e+000	5.000000e+000	2.465943e+000	5.000000e+000	1.553495e-001
2.075345569605958e-002	1.883639e+000	5.000000e+000	2.465443e+000	5.000000e+000	1.553937e-001
2.075355576572003e-002	1.883889e+000	5.000000e+000	2.464442e+000	5.000000e+000	1.554820e-001
2.075367460990337e-002	1.884187e+000	5.000000e+000	2.463254e+000	5.000000e+000	1.555868e-001
2.075391229827006e-002	1.884781e+000	5.000000e+000	2.460877e+000	5.000000e+000	1.557959e-001
2.075417230820376e-002	1.885431e+000	5.000000e+000	2.458277e+000	5.000000e+000	1.560242e-001
2.075469232807115e-002	1.886731e+000	5.000000e+000	2.453077e+000	5.000000e+000	1.564791e-001
2.075525282731201e-002	1.888132e+000	5.000000e+000	2.447472e+000	5.000000e+000	1.569668e-001
2.075637382579372e-002	1.890935e+000	5.000000e+000	2.436262e+000	5.000000e+000	1.579352e-001
2.075750356440160e-002	1.893759e+000	5.000000e+000	2.424964e+000	5.000000e+000	1.589019e-001
2.075919153550680e-002	1.897979e+000	5.000000e+000	2.408085e+000	5.000000e+000	1.603307e-001
2.076050085433742e-002	1.901252e+000	5.000000e+000	2.394991e+000	5.000000e+000	1.614267e-001
2.076192650073682e-002	1.904816e+000	5.000000e+000	2.380735e+000	5.000000e+000	1.626057e-001
2.076373710671461e-002	1.909343e+000	5.000000e+000	2.362629e+000	5.000000e+000	1.640808e-001
2.076733026565804e-002	1.918326e+000	5.000000e+000	2.326697e+000	5.000000e+000	1.669540e-001
2.077155768934969e-002	1.928894e+000	5.000000e+000	2.284423e+000	5.000000e+000	1.702547e-001
2.078001253673299e-002	1.950031e+000	5.000000e+000	2.199875e+000	5.000000e+000	1.767203e-001
2.078549083391356e-002	1.963727e+000	5.000000e+000	2.145092e+000	5.000002e+000	1.808692e-001
2.078686040820871e-002	1.967151e+000	5.000000e+000	2.131396e+000	5.000002e+000	1.819040e-001
2.078959955679900e-002	1.973999e+000	5.000000e+000	2.104004e+000	5.000000e+000	1.839766e-001
2.079028434394657e-002	1.975711e+000	5.000000e+000	2.097157e+000	5.000000e+000	1.844957e-001
2.079165391824171e-002	1.979135e+000	5.000000e+000	2.083461e+000	5.000000e+000	1.855356e-001
2.079251260439807e-002	1.981282e+000	5.000000e+000	2.074874e+000	5.000000e+000	1.861884e-001
2.079321291720815e-002	1.983032e+000	5.000000e+000	2.067871e+000	5.000000e+000	1.867215e-001
2.079365180014299e-002	1.984130e+000	5.000000e+000	2.063482e+000	5.000000e+000	1.870559e-001
2.079398389421991e-002	1.984960e+000	5.000000e+000	2.060161e+000	5.000000e+000	1.873093e-001
2.079427591091485e-002	1.985690e+000	5.000000e+000	2.057241e+000	5.000000e+000	1.875323e-001
2.079461933228200e-002	1.986548e+000	5.000000e+000	2.053807e+000	5.000000e+000	1.877945e-001
2.079466684967799e-002	1.986667e+000	5.000000e+000	2.053332e+000	5.000000e+000	1.878308e-001
2.079476188446997e-002	1.986905e+000	5.000000e+000	2.052381e+000	5.000000e+000	1.879033e-001
2.079478564316796e-002	1.986964e+000	5.000000e+000	2.052144e+000	5.000000e+000	1.879214e-001
2.079479158284246e-002	1.986979e+000	5.000000e+000	2.052084e+000	5.000000e+000	1.879260e-001
2.079480643202871e-002	1.987016e+000	5.000000e+000	2.051936e+000	5.000000e+000	1.879373e-001
2.079480823514418e-002	1.987021e+000	5.000000e+000	2.051918e+000	5.000000e+000	1.879387e-001
2.079481003825965e-002	1.987025e+000	5.000000e+000	2.051900e+000	5.000000e+000	1.879401e-001
2.079481184137513e-002	1.987030e+000	5.000000e+000	2.051882e+000	5.000000e+000	1.879414e-001
2.079481364449060e-002	1.987034e+000	5.000000e+000	2.051863e+000	5.000000e+000	1.879428e-001
