#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18988
#Date Time: 2019-04-24 18:03:01.085
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: -100 mVHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.8 V
#Channel 2: Range: 500 mV/div Offset: -1.72 V

Time (s),Channel 1 (V),Channel 2 (V)
0.023996349999999996,2.0502734533374185,1.9611089746905011
0.024003979999999998,2.0499415238930938,1.9611089746905011
0.024011609999999996,2.0502734533374185,1.9611089746905011
0.024019239999999997,2.0502734533374185,1.9614438394335911
0.024026869999999999,2.0502734533374185,1.9614438394335911
0.024034499999999997,2.0502734533374185,1.961778704176681
0.024042129999999998,1.9818959878064475,1.9604392452043209
0.024049759999999996,1.9500307611512375,1.9510630323977995
0.024057389999999998,1.9503626905955627,1.9400124958758282
0.024065019999999996,1.9503626905955627,1.9316408772985771
0.024072649999999998,1.9503626905955627,1.923938988207506
0.024080279999999999,1.9503626905955627,1.9179114228318852
0.024087909999999997,1.9503626905955627,1.9122187221993545
0.024095539999999999,1.9500307611512375,1.9075306157960938
0.024103169999999997,1.9503626905955627,1.9031773741359232
0.024110799999999998,1.9503626905955627,1.9001635914481128
0.024118429999999996,1.9500307611512375,1.8971498087603025
0.024126059999999998,1.9500307611512375,1.8944708908155821
0.024133689999999996,1.9500307611512375,1.8924617023570418
0.024141319999999997,1.9503626905955627,1.8901176491554115
0.024148949999999999,1.9506946200398878,1.8881084606968712
0.024156579999999997,1.9506946200398878,1.886434136981421
0.024164209999999998,1.9503626905955627,1.8850946780090607
0.024171839999999997,1.9503626905955627,1.8837552190367006
0.024179469999999998,1.9503626905955627,1.8820808953212504
0.024187099999999996,1.9503626905955627,1.8814111658350703
0.024194729999999998,1.9503626905955627,1.8807414363488901
0.024202359999999999,1.9500307611512375,1.8800717068627102
0.024209989999999997,1.9503626905955627,1.87906711263344
0.024217619999999999,1.9506946200398878,1.8783973831472598
0.024225249999999997,1.9506946200398878,1.8777276536610799
